distance,x,y,z,U_x,U_y,U_z,k,omega
0,2.5,-0.25,0,1.36483e-15,-2.93998e-20,6.92968e-32,2.20388e-19,3286.9
0.00075,2.5,-0.24925,6.93889e-18,0.0664891,-1.44623e-05,7.15662e-19,8.25571e-05,2140.15
0.0015,2.5,-0.2485,8.67362e-18,0.124261,-5.4402e-05,-4.38248e-19,0.000404933,460.54
0.00225,2.5,-0.24775,1.04083e-17,0.168273,-0.000120468,5.35844e-19,0.00107702,208.107
0.003,2.5,-0.247,3.46945e-18,0.191883,-0.000216689,1.97863e-19,0.00172576,127.94
0.00375,2.5,-0.24625,3.46945e-18,0.209243,-0.000313692,-5.09152e-20,0.00228555,80.5518
0.0045,2.5,-0.2455,6.93889e-18,0.219111,-0.000425203,4.99594e-20,0.00272935,61.7351
0.00525,2.5,-0.24475,6.07153e-18,0.227286,-0.000532798,2.12194e-19,0.00311897,47.2707
0.006,2.5,-0.244,6.93889e-18,0.232864,-0.000653294,2.87519e-19,0.00346085,39.9627
0.00675,2.5,-0.24325,1.04083e-17,0.238006,-0.000763185,2.66807e-19,0.00377423,33.2131
0.0075,2.5,-0.2425,1.04083e-17,0.241828,-0.000892636,5.70739e-20,0.00406055,29.6573
0.00825,2.5,-0.24175,1.10589e-17,0.245306,-0.00101577,-1.83705e-19,0.00432868,26.4168
0.009,2.5,-0.241,1.73472e-17,0.24846,-0.00113351,-2.62999e-19,0.00457486,23.6658
0.00975,2.5,-0.24025,1.73472e-17,0.251163,-0.00126674,-7.83135e-20,0.00481164,21.8721
0.0105,2.5,-0.2395,2.08167e-17,0.25369,-0.00139509,9.71301e-20,0.00503736,20.1816
0.01125,2.5,-0.23875,1.38778e-17,0.256033,-0.00151066,2.5824e-19,0.00524382,18.6087
0.012,2.5,-0.238,1.38778e-17,0.258225,-0.00165016,1.85172e-19,0.00545218,17.5623
0.01275,2.5,-0.23725,1.56125e-17,0.260193,-0.00178138,1.1742e-19,0.00564488,16.6122
0.0135,2.5,-0.2365,1.04083e-17,0.26211,-0.00190819,5.15604e-20,0.00583199,15.6852
0.01425,2.5,-0.23575,8.89046e-18,0.263924,-0.00202998,-4.45013e-21,0.00600893,14.8428
0.015,2.5,-0.235,1.04083e-17,0.265727,-0.00217167,-2.61509e-20,0.00618956,14.2238
0.01575,2.5,-0.23425,5.20417e-18,0.267356,-0.00230511,-2.6873e-20,0.00635702,13.6591
0.0165,2.5,-0.2335,4.29615e-18,0.268978,-0.00243823,-2.69212e-20,0.00652399,13.0964
0.01725,2.5,-0.23275,0,0.270472,-0.00255828,-4.49506e-20,0.00667684,12.5737
0.018,2.5,-0.232,8.67362e-19,0.271999,-0.0026921,-4.14733e-20,0.00683304,12.1364
0.01875,2.5,-0.23125,0,0.273521,-0.00283352,-3.25133e-20,0.00698918,11.7632
0.0195,2.5,-0.2305,1.73472e-18,0.274921,-0.00296797,-6.09552e-20,0.00713571,11.4175
0.02025,2.5,-0.22975,5.20417e-18,0.276322,-0.00310241,-8.93972e-20,0.00728225,11.0718
0.021,2.5,-0.229,4.33681e-18,0.277622,-0.00322544,-8.02457e-20,0.00741803,10.7477
0.02175,2.5,-0.22825,3.90313e-18,0.278928,-0.00335127,-6.81804e-20,0.00755339,10.4437
0.0225,2.5,-0.2275,5.20417e-18,0.280312,-0.00349515,-6.75983e-20,0.00769369,10.2054
0.02325,2.5,-0.22675,6.93889e-18,0.281627,-0.00363433,-5.42903e-20,0.00782833,9.97879
0.024,2.5,-0.226,6.93889e-18,0.282881,-0.00376948,-3.00923e-20,0.00795812,9.76204
0.02475,2.5,-0.22525,6.93889e-18,0.284136,-0.00390463,-5.8943e-21,0.00808792,9.5453
0.0255,2.5,-0.2245,6.93889e-18,0.285307,-0.00402947,-4.92698e-22,0.00820911,9.34076
0.02625,2.5,-0.22375,6.93889e-18,0.286456,-0.00415142,-3.52945e-22,0.00832789,9.13965
0.027,2.5,-0.223,6.93889e-18,0.287708,-0.00429129,-6.57507e-21,0.00845181,8.97932
0.02775,2.5,-0.22225,8.67362e-18,0.288985,-0.00443534,-1.42825e-20,0.00857694,8.82852
0.0285,2.5,-0.2215,3.46945e-18,0.290163,-0.00457204,-1.55144e-20,0.00869425,8.68924
0.02925,2.5,-0.22075,5.20417e-18,0.291323,-0.00470734,-1.55144e-20,0.00881006,8.55216
0.03,2.5,-0.22,5.20417e-18,0.292482,-0.00484264,-1.55144e-20,0.00892588,8.41508
0.03075,2.5,-0.21925,3.90313e-18,0.293585,-0.00497038,-1.91864e-20,0.00903605,8.28362
0.0315,2.5,-0.2185,5.20417e-18,0.294646,-0.00509251,-2.55891e-20,0.00914201,8.15634
0.03225,2.5,-0.21775,3.68629e-18,0.295742,-0.00521977,-3.0231e-20,0.00924946,8.03677
0.033,2.5,-0.217,3.46945e-18,0.296951,-0.00536335,-2.92702e-20,0.00936161,7.94169
0.03375,2.5,-0.21625,3.46945e-18,0.298161,-0.00550692,-2.83095e-20,0.00947376,7.84662
0.0345,2.5,-0.2155,3.46945e-18,0.299274,-0.00564259,-3.73286e-20,0.00957841,7.75954
0.03525,2.5,-0.21475,3.46945e-18,0.300377,-0.00577742,-4.73978e-20,0.00968228,7.67329
0.036,2.5,-0.214,5.20417e-18,0.30148,-0.00591225,-5.7467e-20,0.00978614,7.58705
0.03675,2.5,-0.21325,7.02021e-18,0.302579,-0.00604662,-6.71541e-20,0.0098897,7.50102
0.0375,2.5,-0.2125,6.07153e-18,0.303586,-0.00616838,-6.63278e-20,0.0099847,7.42081
0.03825,2.5,-0.21175,6.93889e-18,0.304593,-0.00629014,-6.55016e-20,0.0100797,7.34059
0.039,2.5,-0.211,6.72205e-18,0.305646,-0.00641744,-6.25607e-20,0.0101762,7.2662
0.03975,2.5,-0.21025,6.93889e-18,0.306822,-0.00655975,-5.38959e-20,0.0102769,7.20758
0.0405,2.5,-0.2095,6.93889e-18,0.307998,-0.00670206,-4.5231e-20,0.0103776,7.14896
0.04125,2.5,-0.20875,6.93889e-18,0.309124,-0.00684,-3.30153e-20,0.0104746,7.09319
0.042,2.5,-0.208,1.04083e-17,0.3102,-0.00697363,-1.7312e-20,0.0105679,7.04023
0.04275,2.5,-0.20725,5.20417e-18,0.311275,-0.00710726,-1.60858e-21,0.0106612,6.98726
0.0435,2.5,-0.2065,5.20417e-18,0.312351,-0.00724089,1.40948e-20,0.0107546,6.9343
0.04425,2.5,-0.20575,5.20417e-18,0.313426,-0.00737453,2.97982e-20,0.0108479,6.88134
0.045,2.5,-0.205,5.20417e-18,0.314415,-0.00749628,3.77778e-20,0.0109338,6.83162
0.04575,2.5,-0.20425,3.46945e-18,0.315397,-0.00761701,4.50889e-20,0.0110192,6.78219
0.0465,2.5,-0.2035,3.46945e-18,0.316378,-0.00773773,5.24e-20,0.0111045,6.73276
0.04725,2.5,-0.20275,3.03577e-18,0.317481,-0.00787089,5.45682e-20,0.0111929,6.69307
0.048,2.5,-0.202,8.67362e-19,0.318652,-0.00801089,5.39002e-20,0.011283,6.65876
0.04875,2.5,-0.20125,1.73472e-18,0.319823,-0.0081509,5.32323e-20,0.0113731,6.62445
0.0495,2.5,-0.2005,0,0.320958,-0.00828775,5.05683e-20,0.0114608,6.59146
0.05025,2.5,-0.19975,3.46945e-18,0.322032,-0.00841921,4.44875e-20,0.0115444,6.56072
0.051,2.5,-0.199,3.46945e-18,0.323106,-0.00855067,3.84067e-20,0.0116279,6.52998
0.05175,2.5,-0.19825,3.46945e-18,0.32418,-0.00868213,3.23259e-20,0.0117115,6.49924
0.0525,2.5,-0.1975,3.46945e-18,0.325254,-0.00881359,2.6245e-20,0.0117951,6.4685
0.05325,2.5,-0.19675,6.93889e-18,0.326328,-0.00894505,2.01642e-20,0.0118787,6.43775
0.054,2.5,-0.196,6.07153e-18,0.327313,-0.00906465,1.92672e-20,0.0119555,6.40874
0.05475,2.5,-0.19525,6.07153e-18,0.328292,-0.00918347,1.87109e-20,0.0120319,6.37985
0.0555,2.5,-0.1945,6.93889e-18,0.329271,-0.0093023,1.81545e-20,0.0121083,6.35095
0.05625,2.5,-0.19375,7.67073e-18,0.330263,-0.00942213,1.71662e-20,0.0121849,6.3227
0.057,2.5,-0.193,4.77049e-18,0.331454,-0.00955847,9.13802e-21,0.0122645,6.30509
0.05775,2.5,-0.19225,3.46945e-18,0.332645,-0.0096948,1.10981e-21,0.0123442,6.28748
0.0585,2.5,-0.1915,3.46945e-18,0.333837,-0.00983113,-6.9184e-21,0.0124239,6.26987
