distance,x,y,z,U_x,U_y,U_z,k,omega
6.31009e-20,-4.44714e-20,4.47662e-20,0,1.14516e-17,-6.03353e-19,-3.65743e-36,6.74429e-22,13292.7
0.0005,-4.44714e-20,0.0005,-3.46945e-18,0.122087,-0.00319383,-7.90684e-21,6.85328e-05,3906.88
0.001,-4.44714e-20,0.001,-1.73472e-18,0.227845,-0.00340226,1.21487e-20,0.000519351,936.367
0.0015,-4.44714e-20,0.0015,-2.1684e-18,0.3098,-0.00368601,0,0.00147578,479.699
0.002,-4.44714e-20,0.002,1.04083e-17,0.367126,-0.00391217,0,0.00225448,318.272
0.0025,-4.44714e-20,0.0025,-8.67362e-19,0.408594,-0.00407971,0,0.00273884,233.526
0.003,-4.44714e-20,0.003,3.46945e-18,0.43995,-0.00420857,0,0.00304846,181.616
0.0035,-4.44714e-20,0.0035,0,0.464816,-0.00431647,0,0.00325246,147.149
0.004,-4.44714e-20,0.004,-8.67362e-19,0.485115,-0.00441239,0,0.00339542,123.061
0.0045,-4.44714e-20,0.0045,-6.93889e-18,0.501912,-0.00449727,0,0.00349947,105.405
0.005,-4.44714e-20,0.005,-6.93889e-18,0.517078,-0.0045792,-2.58474e-20,0.00358414,91.0729
0.0055,-4.44714e-20,0.0055,-6.93889e-18,0.529608,-0.00465115,-4.09649e-20,0.00364801,80.3252
0.006,-4.44714e-20,0.006,-6.93889e-18,0.541092,-0.004721,-1.89217e-21,0.00370135,71.404
0.0065,-4.44714e-20,0.0065,-6.93889e-18,0.551279,-0.00478789,3.07788e-20,0.00374451,64.3584
0.007,-4.44714e-20,0.007,-8.67362e-18,0.560208,-0.0048492,2.96782e-20,0.00378046,58.582
0.0075,-4.44714e-20,0.0075,-4.60786e-18,0.568711,-0.00491001,0,0.00381307,53.4311
0.008,-4.44714e-20,0.008,-6.93889e-18,0.57638,-0.00496918,0,0.00384064,49.2723
0.0085,-4.44714e-20,0.0085,-8.67362e-18,0.583239,-0.00502382,0,0.00386476,45.7103
0.009,-4.44714e-20,0.009,-3.46945e-18,0.589784,-0.00507835,0,0.003887,42.5362
0.0095,-4.44714e-20,0.0095,-6.93889e-18,0.596028,-0.00513324,2.92832e-20,0.00390773,39.7207
0.01,-4.44714e-20,0.01,-7.69784e-18,0.601613,-0.00518335,6.50493e-20,0.00392612,37.2712
0.0105,-4.44714e-20,0.0105,-6.93889e-18,0.606794,-0.00523318,3.10602e-20,0.00394281,35.2124
0.011,-4.44714e-20,0.011,-8.23994e-18,0.611935,-0.00528318,-6.55619e-23,0.00395935,33.1946
0.0115,-4.44714e-20,0.0115,-6.93889e-18,0.616749,-0.00533288,-6.31164e-23,0.00397478,31.4534
0.012,-4.44714e-20,0.012,-1.73472e-17,0.621129,-0.00537863,-4.21389e-21,0.00398883,29.8905
0.0125,-4.44714e-20,0.0125,-9.54098e-18,0.625304,-0.0054248,-3.05091e-20,0.00400226,28.5148
0.013,-4.44714e-20,0.013,-1.25767e-17,0.629462,-0.00547112,-4.97422e-20,0.00401565,27.1548
0.0135,-4.44714e-20,0.0135,-1.04083e-17,0.63343,-0.00551797,-7.24534e-22,0.00402859,25.9543
0.014,-4.44714e-20,0.014,-8.67362e-18,0.637025,-0.00556047,4.3682e-20,0.00404031,24.867
0.0145,-4.44714e-20,0.0145,-9.54098e-18,0.640465,-0.00560356,1.02709e-20,0.0040517,23.9067
0.015,-4.44714e-20,0.015,-1.04083e-17,0.643889,-0.00564675,-3.0586e-20,0.00406307,22.9585
0.0155,-4.44714e-20,0.0155,-1.21431e-17,0.647235,-0.00569056,-3.36495e-20,0.00407432,22.0765
0.016,-4.44714e-20,0.016,-6.93889e-18,0.650377,-0.00573269,-1.44836e-20,0.00408498,21.2749
0.0165,-4.44714e-20,0.0165,-1.04083e-17,0.653322,-0.00577267,0,0.00409501,20.5355
0.017,-4.44714e-20,0.017,-9.32414e-18,0.656169,-0.00581324,0,0.00410489,19.8685
0.0175,-4.44714e-20,0.0175,-1.04083e-17,0.659017,-0.00585385,0,0.00411476,19.2016
0.018,-4.44714e-20,0.018,-1.04083e-17,0.661806,-0.00589513,0,0.00412457,18.5807
0.0185,-4.44714e-20,0.0185,-1.38778e-17,0.664461,-0.00593521,0,0.00413398,18.0067
0.019,-4.44714e-20,0.019,-1.25767e-17,0.666945,-0.00597273,0,0.00414278,17.4698
0.0195,-4.44714e-20,0.0195,-1.04083e-17,0.669345,-0.00601101,0,0.00415143,16.9913
0.02,-4.44714e-20,0.02,-8.67362e-18,0.671741,-0.00604933,0,0.00416007,16.515
0.0205,-4.44714e-20,0.0205,-1.25767e-17,0.67413,-0.0060878,0,0.00416871,16.0451
0.021,-4.44714e-20,0.021,-1.04083e-17,0.676464,-0.00612716,0,0.00417725,15.6165
0.0215,-4.44714e-20,0.0215,-1.04083e-17,0.678632,-0.00616372,0,0.00418518,15.2187
0.022,-4.44714e-20,0.022,-1.04083e-17,0.680725,-0.0061993,2.60768e-21,0.00419285,14.839
0.0225,-4.44714e-20,0.0225,-9.54098e-18,0.682764,-0.00623555,2.02297e-20,0.00420037,14.4946
0.023,-4.44714e-20,0.023,-1.04083e-17,0.684804,-0.00627182,3.78744e-20,0.00420788,14.1503
0.0235,-4.44714e-20,0.0235,-1.01915e-17,0.686843,-0.00630811,5.52596e-20,0.0042154,13.8061
0.024,-4.44714e-20,0.024,-1.04083e-17,0.68884,-0.00634538,2.22271e-20,0.00422277,13.4946
0.0245,-4.44714e-20,0.0245,-1.04083e-17,0.690751,-0.00638105,-9.37457e-21,0.00422983,13.1965
0.025,-4.44714e-20,0.025,-9.54098e-18,0.69255,-0.00641464,-3.91119e-20,0.00423647,12.916
0.0255,-4.44714e-20,0.0255,-8.67362e-18,0.694317,-0.00644876,-5.72015e-20,0.00424295,12.6553
0.026,-4.44714e-20,0.026,-8.13152e-18,0.696071,-0.00648311,-7.00345e-20,0.00424937,12.4036
0.0265,-4.44714e-20,0.0265,-6.93889e-18,0.697825,-0.00651748,-8.28967e-20,0.00425578,12.1519
0.027,-4.44714e-20,0.027,-7.37257e-18,0.699574,-0.00655205,-8.55799e-20,0.00426216,11.9047
0.0275,-4.44714e-20,0.0275,-6.93889e-18,0.701299,-0.00658738,-4.72128e-20,0.00426836,11.6758
0.028,-4.44714e-20,0.028,-6.93889e-18,0.702947,-0.00662112,-1.05899e-20,0.00427428,11.4572
0.0285,-4.44714e-20,0.0285,-6.93889e-18,0.704501,-0.00665295,2.3932e-20,0.00427987,11.2511
0.029,-4.44714e-20,0.029,-1.04083e-17,0.706039,-0.00668515,4.04699e-20,0.00428531,11.0554
0.0295,-4.44714e-20,0.0295,-6.93889e-18,0.707562,-0.00671771,4.00904e-20,0.0042906,10.8695
0.03,-4.44714e-20,0.03,-8.67362e-18,0.709085,-0.00675028,3.97104e-20,0.0042959,10.6835
0.0305,-4.44714e-20,0.0305,-1.04083e-17,0.710608,-0.00678286,3.93301e-20,0.0043012,10.4976
0.031,-4.44714e-20,0.031,-8.67362e-18,0.71212,-0.00681601,3.27283e-20,0.00430631,10.3218
0.0315,-4.44714e-20,0.0315,-1.04083e-17,0.713625,-0.00684949,2.26071e-20,0.00431133,10.1518
0.032,-4.44714e-20,0.032,-3.46945e-18,0.715026,-0.00688064,1.32062e-20,0.00431599,9.99361
0.0325,-4.44714e-20,0.0325,-6.07153e-18,0.716381,-0.00691079,4.11351e-21,0.0043205,9.84052
0.033,-4.44714e-20,0.033,-6.93889e-18,0.717725,-0.00694132,0,0.00432482,9.69521
0.0335,-4.44714e-20,0.0335,-5.20417e-18,0.71906,-0.00697216,0,0.00432898,9.55632
0.034,-4.44714e-20,0.034,-6.07153e-18,0.720394,-0.007003,0,0.00433314,9.41743
0.0345,-4.44714e-20,0.0345,-3.46945e-18,0.721729,-0.00703385,0,0.0043373,9.27854
0.035,-4.44714e-20,0.035,-3.46945e-18,0.723061,-0.00706491,0,0.00434137,9.14236
0.0355,-4.44714e-20,0.0355,-3.46945e-18,0.724385,-0.00709659,0,0.00434517,9.01466
0.036,-4.44714e-20,0.036,0,0.725697,-0.00712799,0,0.00434894,8.8881
0.0365,-4.44714e-20,0.0365,0,0.72689,-0.00715653,0,0.00435236,8.77312
0.037,-4.44714e-20,0.037,3.03577e-18,0.728082,-0.00718507,0,0.00435578,8.65815
0.0375,-4.44714e-20,0.0375,6.93889e-18,0.729265,-0.00721404,0,0.00435891,8.55019
0.038,-4.44714e-20,0.038,6.07153e-18,0.730444,-0.0072432,0,0.00436192,8.44526
0.0385,-4.44714e-20,0.0385,6.93889e-18,0.731623,-0.00727236,0,0.00436492,8.34033
