y,U_x,U_y,U_z,k
1.10046e-17,1.0751,-2.67746e-25,0,0.00175567
0.00020004,1.0751,7.10813e-13,0,0.00175567
0.00040008,1.0751,1.42163e-12,0,0.00175567
0.00060012,1.0751,2.13244e-12,0,0.00175567
0.00080016,1.0751,2.84325e-12,0,0.00175567
0.0010002,1.0751,3.55407e-12,0,0.00175567
0.00120024,1.0751,4.26488e-12,0,0.00175567
0.00140028,1.0751,4.97569e-12,0,0.00175567
0.00160032,1.0751,5.68651e-12,0,0.00175567
0.00180036,1.0751,6.39732e-12,0,0.00175567
0.0020004,1.0751,7.10813e-12,0,0.00175567
0.00220044,1.0751,7.81895e-12,0,0.00175567
0.00240048,1.0751,8.52976e-12,0,0.00175567
0.00260052,1.0751,9.24057e-12,0,0.00175567
0.00280056,1.0751,9.95139e-12,0,0.00175567
0.0030006,1.0751,1.06622e-11,0,0.00175567
0.00320064,1.0751,1.1373e-11,0,0.00175567
0.00340068,1.0751,1.20838e-11,0,0.00175567
0.00360072,1.0751,1.27946e-11,0,0.00175567
0.00380076,1.0751,1.35055e-11,0,0.00175567
0.0040008,1.0751,1.42163e-11,0,0.00175567
0.00420084,1.0751,1.49271e-11,0,0.00175567
0.00440088,1.0751,1.56379e-11,0,0.00175567
0.00460092,1.0751,1.63487e-11,0,0.00175567
0.00480096,1.0751,1.70595e-11,0,0.00175567
0.005001,1.0751,1.77703e-11,0,0.00175567
0.00520104,1.0751,1.84811e-11,0,0.00175567
0.00540108,1.0751,1.9192e-11,0,0.00175567
0.00560112,1.0751,1.99028e-11,0,0.00175567
0.00580116,1.0751,2.06136e-11,0,0.00175567
0.0060012,1.0751,2.13244e-11,0,0.00175567
0.00620124,1.0751,2.20352e-11,0,0.00175567
0.00640128,1.0751,2.2746e-11,0,0.00175567
0.00660132,1.0751,2.34568e-11,0,0.00175567
0.00680136,1.0751,2.41677e-11,0,0.00175567
0.0070014,1.0751,2.48785e-11,0,0.00175567
0.00720144,1.0751,2.55893e-11,0,0.00175567
0.00740148,1.0751,2.63001e-11,0,0.00175567
0.00760152,1.0751,2.70109e-11,0,0.00175567
0.00780156,1.0751,2.77217e-11,0,0.00175567
0.0080016,1.0751,2.84325e-11,0,0.00175567
0.00820164,1.0751,2.91433e-11,0,0.00175567
0.00840168,1.0751,2.98542e-11,0,0.00175567
0.00860172,1.0751,3.0565e-11,0,0.00175567
0.00880176,1.0751,3.12758e-11,0,0.00175567
0.0090018,1.0751,3.19866e-11,0,0.00175567
0.00920184,1.0751,3.26974e-11,0,0.00175567
0.00940188,1.0751,3.34082e-11,0,0.00175567
0.00960192,1.0751,3.4119e-11,0,0.00175567
0.00980196,1.0751,3.48299e-11,0,0.00175567
0.010002,1.0751,3.55407e-11,0,0.00175567
0.010202,1.0751,3.62515e-11,0,0.00175567
0.0104021,1.0751,3.69623e-11,0,0.00175567
0.0106021,1.0751,3.76731e-11,0,0.00175567
0.0108022,1.0751,3.83839e-11,0,0.00175567
0.0110022,1.0751,3.90947e-11,0,0.00175567
0.0112022,1.0751,3.98055e-11,0,0.00175567
0.0114023,1.0751,4.05164e-11,0,0.00175567
0.0116023,1.0751,4.12272e-11,0,0.00175567
0.0118024,1.0751,4.1938e-11,0,0.00175567
0.0120024,1.0751,4.26488e-11,0,0.00175567
0.0122024,1.0751,4.33596e-11,0,0.00175567
0.0124025,1.0751,4.40704e-11,0,0.00175567
0.0126025,1.0751,4.47812e-11,0,0.00175567
0.0128026,1.0751,4.54921e-11,0,0.00175567
0.0130026,1.0751,4.62029e-11,0,0.00175567
0.0132026,1.0751,4.69137e-11,0,0.00175567
0.0134027,1.0751,4.76245e-11,0,0.00175567
0.0136027,1.0751,4.83353e-11,0,0.00175567
0.0138028,1.0751,4.90461e-11,0,0.00175567
0.0140028,1.0751,4.97569e-11,0,0.00175567
0.0142028,1.0751,5.04677e-11,0,0.00175567
0.0144029,1.0751,5.11786e-11,0,0.00175567
0.0146029,1.0751,5.18894e-11,0,0.00175567
0.014803,1.0751,5.26002e-11,0,0.00175567
0.015003,1.0751,5.3311e-11,0,0.00175567
0.015203,1.0751,5.40218e-11,0,0.00175567
0.0154031,1.0751,5.47326e-11,0,0.00175567
0.0156031,1.0751,5.54434e-11,0,0.00175567
0.0158032,1.0751,5.61543e-11,0,0.00175567
0.0160032,1.0751,5.68651e-11,0,0.00175567
0.0162032,1.0751,5.75759e-11,0,0.00175567
0.0164033,1.0751,5.82867e-11,0,0.00175567
0.0166033,1.0751,5.89975e-11,0,0.00175567
0.0168034,1.0751,5.97083e-11,0,0.00175567
0.0170034,1.0751,6.04191e-11,0,0.00175567
0.0172034,1.0751,6.11299e-11,0,0.00175567
0.0174035,1.0751,6.18408e-11,0,0.00175567
0.0176035,1.0751,6.25516e-11,0,0.00175567
0.0178036,1.0751,6.32624e-11,0,0.00175567
0.0180036,1.0751,6.39732e-11,0,0.00175567
0.0182036,1.0751,6.4684e-11,0,0.00175567
0.0184037,1.0751,6.53948e-11,0,0.00175567
0.0186037,1.0751,6.61056e-11,0,0.00175567
0.0188038,1.0751,6.68165e-11,0,0.00175567
0.0190038,1.0751,6.75273e-11,0,0.00175567
0.0192038,1.0751,6.82381e-11,0,0.00175567
0.0194039,1.0751,6.89489e-11,0,0.00175567
0.0196039,1.0751,6.96597e-11,0,0.00175567
0.019804,1.0751,7.03705e-11,0,0.00175567
0.020004,1.0751,7.10813e-11,0,0.00175567
0.020204,1.0751,7.17921e-11,0,0.00175567
0.0204041,1.0751,7.2503e-11,0,0.00175567
0.0206041,1.0751,7.32138e-11,0,0.00175567
0.0208042,1.0751,7.39246e-11,0,0.00175567
0.0210042,1.0751,7.46354e-11,0,0.00175567
0.0212042,1.0751,7.53462e-11,0,0.00175567
0.0214043,1.0751,7.6057e-11,0,0.00175567
0.0216043,1.0751,7.67678e-11,0,0.00175567
0.0218044,1.0751,7.74787e-11,0,0.00175567
0.0220044,1.0751,7.81895e-11,0,0.00175567
0.0222044,1.0751,7.89003e-11,0,0.00175567
0.0224045,1.0751,7.96111e-11,0,0.00175567
0.0226045,1.0751,8.03219e-11,0,0.00175567
0.0228046,1.0751,8.10327e-11,0,0.00175567
0.0230046,1.0751,8.17435e-11,0,0.00175567
0.0232046,1.0751,8.24543e-11,0,0.00175567
0.0234047,1.0751,8.31652e-11,0,0.00175567
0.0236047,1.0751,8.3876e-11,0,0.00175567
0.0238048,1.0751,8.45868e-11,0,0.00175567
0.0240048,1.0751,8.52976e-11,0,0.00175567
0.0242048,1.0751,8.60084e-11,0,0.00175567
0.0244049,1.0751,8.67192e-11,0,0.00175567
0.0246049,1.0751,8.743e-11,0,0.00175567
0.024805,1.0751,8.81409e-11,0,0.00175567
0.025005,1.0751,8.88517e-11,0,0.00175567
0.025205,1.0751,8.95625e-11,0,0.00175567
0.0254051,1.0751,9.02733e-11,0,0.00175567
0.0256051,1.0751,9.09841e-11,0,0.00175567
0.0258052,1.0751,9.16949e-11,0,0.00175567
0.0260052,1.0751,9.24057e-11,0,0.00175567
0.0262052,1.0751,9.31165e-11,0,0.00175567
0.0264053,1.0751,9.38274e-11,0,0.00175567
0.0266053,1.0751,9.45382e-11,0,0.00175567
0.0268054,1.0751,9.5249e-11,0,0.00175567
0.0270054,1.0751,9.59598e-11,0,0.00175567
0.0272054,1.0751,9.66706e-11,0,0.00175567
0.0274055,1.0751,9.73814e-11,0,0.00175567
0.0276055,1.0751,9.80922e-11,0,0.00175567
0.0278056,1.0751,9.88031e-11,0,0.00175567
0.0280056,1.0751,9.95139e-11,0,0.00175567
0.0282056,1.0751,1.00225e-10,0,0.00175567
0.0284057,1.0751,1.00935e-10,0,0.00175567
0.0286057,1.0751,1.01646e-10,0,0.00175567
0.0288058,1.0751,1.02357e-10,0,0.00175567
0.0290058,1.0751,1.03068e-10,0,0.00175567
0.0292058,1.0751,1.03779e-10,0,0.00175567
0.0294059,1.0751,1.0449e-10,0,0.00175567
0.0296059,1.0751,1.052e-10,0,0.00175567
0.029806,1.0751,1.05911e-10,0,0.00175567
0.030006,1.0751,1.06622e-10,0,0.00175567
0.030206,1.0751,1.07333e-10,0,0.00175567
0.0304061,1.0751,1.08044e-10,0,0.00175567
0.0306061,1.0751,1.08754e-10,0,0.00175567
0.0308062,1.0751,1.09465e-10,0,0.00175567
0.0310062,1.0751,1.10176e-10,0,0.00175567
0.0312062,1.0751,1.10887e-10,0,0.00175567
0.0314063,1.0751,1.11598e-10,0,0.00175567
0.0316063,1.0751,1.12309e-10,0,0.00175567
0.0318064,1.0751,1.13019e-10,0,0.00175567
0.0320064,1.0751,1.1373e-10,0,0.00175567
0.0322064,1.0751,1.14441e-10,0,0.00175567
0.0324065,1.0751,1.15152e-10,0,0.00175567
0.0326065,1.0751,1.15863e-10,0,0.00175567
0.0328066,1.0751,1.16573e-10,0,0.00175567
0.0330066,1.0751,1.17284e-10,0,0.00175567
0.0332066,1.0751,1.17995e-10,0,0.00175567
0.0334067,1.0751,1.18706e-10,0,0.00175567
0.0336067,1.0751,1.19417e-10,0,0.00175567
0.0338068,1.0751,1.20127e-10,0,0.00175567
0.0340068,1.0751,1.20838e-10,0,0.00175567
0.0342068,1.0751,1.21549e-10,0,0.00175567
0.0344069,1.0751,1.2226e-10,0,0.00175567
0.0346069,1.0751,1.22971e-10,0,0.00175567
0.034807,1.0751,1.23682e-10,0,0.00175567
0.035007,1.0751,1.24392e-10,0,0.00175567
0.035207,1.0751,1.25103e-10,0,0.00175567
0.0354071,1.0751,1.25814e-10,0,0.00175567
0.0356071,1.0751,1.26525e-10,0,0.00175567
0.0358072,1.0751,1.27236e-10,0,0.00175567
0.0360072,1.0751,1.27946e-10,0,0.00175567
0.0362072,1.0751,1.28657e-10,0,0.00175567
0.0364073,1.0751,1.29368e-10,0,0.00175567
0.0366073,1.0751,1.30079e-10,0,0.00175567
0.0368074,1.0751,1.3079e-10,0,0.00175567
0.0370074,1.0751,1.315e-10,0,0.00175567
0.0372074,1.0751,1.32211e-10,0,0.00175567
0.0374075,1.0751,1.32922e-10,0,0.00175567
0.0376075,1.0751,1.33633e-10,0,0.00175567
0.0378076,1.0751,1.34344e-10,0,0.00175567
0.0380076,1.0751,1.35055e-10,0,0.00175567
0.0382076,1.0751,1.35765e-10,0,0.00175567
0.0384077,1.0751,1.36476e-10,0,0.00175567
0.0386077,1.0751,1.37187e-10,0,0.00175567
0.0388078,1.0751,1.37898e-10,0,0.00175567
0.0390078,1.0751,1.38609e-10,0,0.00175567
0.0392078,1.0751,1.39319e-10,0,0.00175567
0.0394079,1.0751,1.4003e-10,0,0.00175567
0.0396079,1.0751,1.40741e-10,0,0.00175567
0.039808,1.0751,1.41452e-10,0,0.00175567
0.040008,1.0751,1.42163e-10,0,0.00175567
0.040208,1.0751,1.42873e-10,0,0.00175567
0.0404081,1.0751,1.43584e-10,0,0.00175567
0.0406081,1.0751,1.44295e-10,0,0.00175567
0.0408082,1.0751,1.45006e-10,0,0.00175567
0.0410082,1.0751,1.45717e-10,0,0.00175567
0.0412082,1.0751,1.46428e-10,0,0.00175567
0.0414083,1.0751,1.47138e-10,0,0.00175567
0.0416083,1.0751,1.47849e-10,0,0.00175567
0.0418084,1.0751,1.4856e-10,0,0.00175567
0.0420084,1.0751,1.49271e-10,0,0.00175567
0.0422084,1.0751,1.49982e-10,0,0.00175567
0.0424085,1.0751,1.50692e-10,0,0.00175567
0.0426085,1.0751,1.51403e-10,0,0.00175567
0.0428086,1.0751,1.52114e-10,0,0.00175567
0.0430086,1.0751,1.52825e-10,0,0.00175567
0.0432086,1.0751,1.53536e-10,0,0.00175567
0.0434087,1.0751,1.54246e-10,0,0.00175567
0.0436087,1.0751,1.54957e-10,0,0.00175567
0.0438088,1.0751,1.55668e-10,0,0.00175567
0.0440088,1.0751,1.56379e-10,0,0.00175567
0.0442088,1.0751,1.5709e-10,0,0.00175567
0.0444089,1.0751,1.57801e-10,0,0.00175567
0.0446089,1.0751,1.58511e-10,0,0.00175567
0.044809,1.0751,1.59222e-10,0,0.00175567
0.045009,1.0751,1.59933e-10,0,0.00175567
0.045209,1.0751,1.60644e-10,0,0.00175567
0.0454091,1.0751,1.61355e-10,0,0.00175567
0.0456091,1.0751,1.62065e-10,0,0.00175567
0.0458092,1.0751,1.62776e-10,0,0.00175567
0.0460092,1.0751,1.63487e-10,0,0.00175567
0.0462092,1.0751,1.64198e-10,0,0.00175567
0.0464093,1.0751,1.64909e-10,0,0.00175567
0.0466093,1.0751,1.6562e-10,0,0.00175567
0.0468094,1.0751,1.6633e-10,0,0.00175567
0.0470094,1.0751,1.67041e-10,0,0.00175567
0.0472094,1.0751,1.67752e-10,0,0.00175567
0.0474095,1.0751,1.68463e-10,0,0.00175567
0.0476095,1.0751,1.69174e-10,0,0.00175567
0.0478096,1.0751,1.69884e-10,0,0.00175567
0.0480096,1.0751,1.70595e-10,0,0.00175567
0.0482096,1.0751,1.71306e-10,0,0.00175567
0.0484097,1.0751,1.72017e-10,0,0.00175567
0.0486097,1.0751,1.72728e-10,0,0.00175567
0.0488098,1.0751,1.73438e-10,0,0.00175567
0.0490098,1.0751,1.74149e-10,0,0.00175567
0.0492098,1.0751,1.7486e-10,0,0.00175567
0.0494099,1.0751,1.75571e-10,0,0.00175567
0.0496099,1.0751,1.78938e-10,4.6727e-28,0.00175571
0.04981,1.07509,1.90397e-10,2.35821e-27,0.00175587
0.05001,1.07509,2.01856e-10,4.24915e-27,0.00175603
0.05021,1.07508,2.13315e-10,6.14009e-27,0.00175619
0.0504101,1.07508,2.24774e-10,8.03102e-27,0.00175635
0.0506101,1.07507,2.36232e-10,9.92196e-27,0.00175651
0.0508102,1.07507,2.47691e-10,1.18129e-26,0.00175667
0.0510102,1.07506,2.5915e-10,1.37038e-26,0.00175683
0.0512102,1.07506,2.70609e-10,1.55948e-26,0.00175699
0.0514103,1.07505,2.82068e-10,1.74857e-26,0.00175715
0.0516103,1.07505,2.93527e-10,1.93767e-26,0.00175731
0.0518104,1.07504,3.04986e-10,2.12676e-26,0.00175747
0.0520104,1.07504,3.16445e-10,2.31585e-26,0.00175763
0.0522104,1.07503,3.27904e-10,2.50495e-26,0.00175779
0.0524105,1.07503,3.39363e-10,2.69404e-26,0.00175795
0.0526105,1.07503,3.50822e-10,2.88314e-26,0.00175811
0.0528106,1.07502,3.62281e-10,3.07223e-26,0.00175827
0.0530106,1.07502,3.7374e-10,3.26132e-26,0.00175843
0.0532106,1.07501,3.85199e-10,3.45042e-26,0.00175859
0.0534107,1.07501,3.96658e-10,3.63951e-26,0.00175875
0.0536107,1.075,4.08117e-10,3.8286e-26,0.00175891
0.0538108,1.075,4.19576e-10,4.0177e-26,0.00175906
0.0540108,1.07499,4.31035e-10,4.20679e-26,0.00175922
0.0542108,1.07499,4.42494e-10,4.39589e-26,0.00175938
0.0544109,1.07498,4.53953e-10,4.58498e-26,0.00175954
0.0546109,1.07498,4.65412e-10,4.77407e-26,0.0017597
0.054811,1.07497,4.76871e-10,4.96317e-26,0.00175986
0.055011,1.07497,4.8833e-10,5.15226e-26,0.00176002
0.055211,1.07496,4.99789e-10,5.34136e-26,0.00176018
0.0554111,1.07496,5.11248e-10,5.53045e-26,0.00176034
0.0556111,1.07495,5.22707e-10,5.71954e-26,0.0017605
0.0558112,1.07495,5.34165e-10,5.90864e-26,0.00176066
0.0560112,1.07494,5.45624e-10,6.09773e-26,0.00176082
0.0562112,1.07494,5.57083e-10,6.28682e-26,0.00176098
0.0564113,1.07493,5.68542e-10,6.47592e-26,0.00176114
0.0566113,1.07493,5.80001e-10,6.66501e-26,0.0017613
0.0568114,1.07492,5.9146e-10,6.85411e-26,0.00176146
0.0570114,1.07492,6.02919e-10,7.0432e-26,0.00176162
0.0572114,1.07491,6.14378e-10,7.23229e-26,0.00176178
0.0574115,1.07491,6.25837e-10,7.42139e-26,0.00176194
0.0576115,1.0749,6.37296e-10,7.61048e-26,0.0017621
0.0578116,1.0749,6.48755e-10,7.79958e-26,0.00176226
0.0580116,1.07489,6.60214e-10,7.98867e-26,0.00176242
0.0582116,1.07489,6.71673e-10,8.17776e-26,0.00176258
0.0584117,1.07488,6.83132e-10,8.36686e-26,0.00176274
0.0586117,1.07488,6.94591e-10,8.55595e-26,0.0017629
0.0588118,1.07487,7.0605e-10,8.74504e-26,0.00176306
0.0590118,1.07487,7.17509e-10,8.93414e-26,0.00176322
0.0592118,1.07486,7.28968e-10,9.12323e-26,0.00176337
0.0594119,1.07486,7.40427e-10,9.31233e-26,0.00176353
0.0596119,1.07485,7.51886e-10,9.50142e-26,0.00176369
0.059812,1.07485,7.63345e-10,9.69051e-26,0.00176385
0.060012,1.07484,7.74804e-10,9.87961e-26,0.00176401
0.060212,1.07484,7.86263e-10,1.00687e-25,0.00176417
0.0604121,1.07483,7.97722e-10,1.02578e-25,0.00176433
0.0606121,1.07483,8.09181e-10,1.04469e-25,0.00176449
0.0608122,1.07482,8.2064e-10,1.0636e-25,0.00176465
0.0610122,1.07482,8.32098e-10,1.08251e-25,0.00176481
0.0612122,1.07481,8.43557e-10,1.10142e-25,0.00176497
0.0614123,1.07481,8.55016e-10,1.12033e-25,0.00176513
0.0616123,1.0748,8.66475e-10,1.13924e-25,0.00176529
0.0618124,1.0748,8.77934e-10,1.15815e-25,0.00176545
0.0620124,1.07479,8.89393e-10,1.17705e-25,0.00176561
0.0622124,1.07479,9.00852e-10,1.19596e-25,0.00176577
0.0624125,1.07478,9.12311e-10,1.21487e-25,0.00176593
0.0626125,1.07478,9.2377e-10,1.23378e-25,0.00176609
0.0628126,1.07477,9.35229e-10,1.25269e-25,0.00176625
0.0630126,1.07477,9.46688e-10,1.2716e-25,0.00176641
0.0632126,1.07476,9.58147e-10,1.29051e-25,0.00176657
0.0634127,1.07476,9.69606e-10,1.30942e-25,0.00176673
0.0636127,1.07475,9.81065e-10,1.32833e-25,0.00176689
0.0638128,1.07475,9.92524e-10,1.34724e-25,0.00176705
0.0640128,1.07474,1.00398e-09,1.36615e-25,0.00176721
0.0642128,1.07474,1.01544e-09,1.38506e-25,0.00176737
0.0644129,1.07473,1.0269e-09,1.40397e-25,0.00176753
0.0646129,1.07473,1.03836e-09,1.42288e-25,0.00176768
0.064813,1.07472,1.04982e-09,1.44179e-25,0.00176784
0.065013,1.07472,1.06128e-09,1.4607e-25,0.001768
0.065213,1.07471,1.07274e-09,1.4796e-25,0.00176816
0.0654131,1.07471,1.0842e-09,1.49851e-25,0.00176832
0.0656131,1.0747,1.09565e-09,1.51742e-25,0.00176848
0.0658132,1.0747,1.10711e-09,1.53633e-25,0.00176864
0.0660132,1.07469,1.11857e-09,1.55524e-25,0.0017688
0.0662132,1.07469,1.13003e-09,1.57415e-25,0.00176896
0.0664133,1.07468,1.14149e-09,1.59306e-25,0.00176912
0.0666133,1.07468,1.15295e-09,1.61197e-25,0.00176928
0.0668134,1.07467,1.16441e-09,1.63088e-25,0.00176944
0.0670134,1.07467,1.17587e-09,1.64979e-25,0.0017696
0.0672134,1.07466,1.18733e-09,1.6687e-25,0.00176976
0.0674135,1.07466,1.19879e-09,1.68761e-25,0.00176992
0.0676135,1.07465,1.21024e-09,1.70652e-25,0.00177008
0.0678136,1.07465,1.2217e-09,1.72543e-25,0.00177024
0.0680136,1.07464,1.23316e-09,1.74434e-25,0.0017704
0.0682136,1.07464,1.24462e-09,1.76325e-25,0.00177056
0.0684137,1.07463,1.25608e-09,1.78216e-25,0.00177072
0.0686137,1.07463,1.26754e-09,1.80106e-25,0.00177088
0.0688138,1.07462,1.279e-09,1.81997e-25,0.00177104
0.0690138,1.07462,1.29046e-09,1.83888e-25,0.0017712
0.0692138,1.07461,1.30192e-09,1.85779e-25,0.00177136
0.0694139,1.07461,1.31337e-09,1.8767e-25,0.00177152
0.0696139,1.0746,1.32483e-09,1.89561e-25,0.00177168
