y,U_x,U_y,U_z,k
0,1.08901,-5.63702e-25,0,0.00150942
0.00020004,1.08901,-5.82429e-11,0,0.00150942
0.00040008,1.08901,-1.16486e-10,0,0.00150942
0.00060012,1.08901,-1.74729e-10,0,0.00150942
0.00080016,1.08901,-2.32972e-10,0,0.00150942
0.0010002,1.08901,-2.91215e-10,0,0.00150942
0.00120024,1.08901,-3.49457e-10,0,0.00150942
0.00140028,1.08901,-4.077e-10,0,0.00150942
0.00160032,1.08901,-4.65943e-10,0,0.00150942
0.00180036,1.08901,-5.24186e-10,0,0.00150942
0.0020004,1.08901,-5.82429e-10,0,0.00150942
0.00220044,1.08901,-6.40672e-10,0,0.00150942
0.00240048,1.08901,-6.98915e-10,0,0.00150942
0.00260052,1.08901,-7.57158e-10,0,0.00150942
0.00280056,1.08901,-8.15401e-10,0,0.00150942
0.0030006,1.08901,-8.73644e-10,0,0.00150942
0.00320064,1.08901,-9.31886e-10,0,0.00150942
0.00340068,1.08901,-9.90129e-10,0,0.00150942
0.00360072,1.08901,-1.04837e-09,0,0.00150942
0.00380076,1.08901,-1.10662e-09,0,0.00150942
0.0040008,1.08901,-1.16486e-09,0,0.00150942
0.00420084,1.08901,-1.2231e-09,0,0.00150942
0.00440088,1.08901,-1.28134e-09,0,0.00150942
0.00460092,1.08901,-1.33959e-09,0,0.00150942
0.00480096,1.08901,-1.39783e-09,0,0.00150942
0.005001,1.08901,-1.45607e-09,0,0.00150942
0.00520104,1.08901,-1.51432e-09,0,0.00150942
0.00540108,1.08901,-1.57256e-09,0,0.00150942
0.00560112,1.08901,-1.6308e-09,0,0.00150942
0.00580116,1.08901,-1.68904e-09,0,0.00150942
0.0060012,1.08901,-1.74729e-09,0,0.00150942
0.00620124,1.08901,-1.80553e-09,0,0.00150942
0.00640128,1.08901,-1.86377e-09,0,0.00150942
0.00660132,1.08901,-1.92202e-09,0,0.00150942
0.00680136,1.08901,-1.98026e-09,0,0.00150942
0.0070014,1.08901,-2.0385e-09,0,0.00150942
0.00720144,1.08901,-2.09674e-09,0,0.00150942
0.00740148,1.08901,-2.15499e-09,0,0.00150942
0.00760152,1.08901,-2.21323e-09,0,0.00150942
0.00780156,1.08901,-2.27147e-09,0,0.00150942
0.0080016,1.08901,-2.32972e-09,0,0.00150942
0.00820164,1.08901,-2.38796e-09,0,0.00150942
0.00840168,1.08901,-2.4462e-09,0,0.00150942
0.00860172,1.08901,-2.50444e-09,0,0.00150942
0.00880176,1.08901,-2.56269e-09,0,0.00150942
0.0090018,1.08901,-2.62093e-09,0,0.00150942
0.00920184,1.08901,-2.67917e-09,0,0.00150942
0.00940188,1.08901,-2.73742e-09,0,0.00150942
0.00960192,1.08901,-2.79566e-09,0,0.00150942
0.00980196,1.08901,-2.8539e-09,0,0.00150942
0.010002,1.08901,-2.91215e-09,0,0.00150942
0.010202,1.08901,-2.97039e-09,0,0.00150942
0.0104021,1.08901,-3.02863e-09,0,0.00150942
0.0106021,1.08901,-3.08687e-09,0,0.00150942
0.0108022,1.08901,-3.14512e-09,0,0.00150942
