y,U_x,U_y,U_z,k
0,1.08951,1.55537e-25,0,0.00144431
0.00020004,1.08951,8.03522e-12,0,0.00144431
0.00040008,1.08951,1.60704e-11,0,0.00144431
0.00060012,1.08951,2.41057e-11,0,0.00144431
0.00080016,1.08951,3.21409e-11,0,0.00144431
0.0010002,1.08951,4.01761e-11,0,0.00144431
0.00120024,1.08951,4.82113e-11,0,0.00144431
0.00140028,1.08951,5.62465e-11,0,0.00144431
0.00160032,1.08951,6.42817e-11,0,0.00144431
0.00180036,1.08951,7.2317e-11,0,0.00144431
0.0020004,1.08951,8.03522e-11,0,0.00144431
0.00220044,1.08951,8.83874e-11,0,0.00144431
0.00240048,1.08951,9.64226e-11,0,0.00144431
0.00260052,1.08951,1.04458e-10,0,0.00144431
0.00280056,1.08951,1.12493e-10,0,0.00144431
0.0030006,1.08951,1.20528e-10,0,0.00144431
0.00320064,1.08951,1.28563e-10,0,0.00144431
0.00340068,1.08951,1.36599e-10,0,0.00144431
0.00360072,1.08951,1.44634e-10,0,0.00144431
0.00380076,1.08951,1.52669e-10,0,0.00144431
0.0040008,1.08951,1.60704e-10,0,0.00144431
0.00420084,1.08951,1.6874e-10,0,0.00144431
0.00440088,1.08951,1.76775e-10,0,0.00144431
0.00460092,1.08951,1.8481e-10,0,0.00144431
0.00480096,1.08951,1.92845e-10,0,0.00144431
0.005001,1.08951,2.0088e-10,0,0.00144431
0.00520104,1.08951,2.08916e-10,0,0.00144431
0.00540108,1.08951,2.16951e-10,0,0.00144431
0.00560112,1.08951,2.24986e-10,0,0.00144431
0.00580116,1.08951,2.33021e-10,0,0.00144431
0.0060012,1.08951,2.41057e-10,0,0.00144431
0.00620124,1.08951,2.49092e-10,0,0.00144431
0.00640128,1.08951,2.57127e-10,0,0.00144431
0.00660132,1.08951,2.65162e-10,0,0.00144431
0.00680136,1.08951,2.73197e-10,0,0.00144431
0.0070014,1.08951,2.81233e-10,0,0.00144431
0.00720144,1.08951,2.89268e-10,0,0.00144431
0.00740148,1.08951,2.97303e-10,0,0.00144431
0.00760152,1.08951,3.05338e-10,0,0.00144431
0.00780156,1.08951,3.13373e-10,0,0.00144431
0.0080016,1.08951,3.21409e-10,0,0.00144431
0.00820164,1.08951,3.29444e-10,0,0.00144431
0.00840168,1.08951,3.37479e-10,0,0.00144431
0.00860172,1.08951,3.45514e-10,0,0.00144431
0.00880176,1.08951,3.5355e-10,0,0.00144431
0.0090018,1.08951,3.61585e-10,0,0.00144431
0.00920184,1.08951,3.6962e-10,0,0.00144431
0.00940188,1.08951,3.77655e-10,0,0.00144431
0.00960192,1.08951,3.8569e-10,0,0.00144431
0.00980196,1.08951,3.93726e-10,0,0.00144431
0.010002,1.08951,4.01761e-10,0,0.00144431
0.010202,1.08951,4.09796e-10,0,0.00144431
0.0104021,1.08951,4.17831e-10,0,0.00144431
0.0106021,1.08951,4.25866e-10,0,0.00144431
0.0108022,1.08951,4.33902e-10,0,0.00144431
0.0110022,1.08951,4.41937e-10,0,0.00144431
0.0112022,1.08951,4.49972e-10,0,0.00144431
0.0114023,1.08951,4.58007e-10,0,0.00144431
0.0116023,1.08951,4.66043e-10,0,0.00144431
0.0118024,1.08951,4.74078e-10,0,0.00144431
0.0120024,1.08951,4.82113e-10,0,0.00144431
0.0122024,1.08951,4.90148e-10,0,0.00144431
0.0124025,1.08951,4.98183e-10,0,0.00144431
0.0126025,1.08951,5.06219e-10,0,0.00144431
0.0128026,1.08951,5.14254e-10,0,0.00144431
0.0130026,1.08951,5.22289e-10,0,0.00144431
0.0132026,1.08951,5.30324e-10,0,0.00144431
0.0134027,1.08951,5.3836e-10,0,0.00144431
0.0136027,1.08951,5.46395e-10,0,0.00144431
0.0138028,1.08951,5.5443e-10,0,0.00144431
0.0140028,1.08951,5.62465e-10,0,0.00144431
0.0142028,1.08951,5.705e-10,0,0.00144431
0.0144029,1.08951,5.78536e-10,0,0.00144431
0.0146029,1.08951,5.86571e-10,0,0.00144431
0.014803,1.08951,5.94606e-10,0,0.00144431
0.015003,1.08951,6.02641e-10,0,0.00144431
0.015203,1.08951,6.10676e-10,0,0.00144431
0.0154031,1.08951,6.18712e-10,0,0.00144431
0.0156031,1.08951,6.26747e-10,0,0.00144431
0.0158032,1.08951,6.34782e-10,0,0.00144431
0.0160032,1.08951,6.42817e-10,0,0.00144431
0.0162032,1.08951,6.50853e-10,0,0.00144431
0.0164033,1.08951,6.58888e-10,0,0.00144431
0.0166033,1.08951,6.66923e-10,0,0.00144431
0.0168034,1.08951,6.74958e-10,0,0.00144431
0.0170034,1.08951,6.82993e-10,0,0.00144431
